GRID,CVENTMUN,Fr
289950,01007,1
290098,30133,1
291102,24010,1
291027,32024,1
292237,28038,1
292219,24016,1
293294,30123,1
293197,24021,1
295361,24052,1
295304,32035,1
296358,01004,1
296393,24001,1
298561,24008,1
298510,32054,1
298550,24051,1
300629,32025,1
301697,32008,1
301761,24017,1
302916,28003,1
303861,32038,1
303830,32012,1
304897,32036,1
304921,24025,1
310285,24022,1
310233,32017,1
311300,32056,1
311422,28021,1
314501,32032,1
314646,28012,1
318772,32005,1
318828,24045,1
320907,32013,1
321035,28043,1
324168,24015,1
328381,32010,1
331720,28019,1
343297,32009,1
344403,32006,1
345599,28008,1
345440,32042,1
346609,24020,1
347588,32040,1
347665,24006,1
350931,28041,1
350819,32051,1
352936,32039,1
353014,24007,1
355143,24044,1
360542,28013,1
363636,32014,1
373356,28016,1
377464,10008,1
379658,32026,1
379709,32041,1
384030,28042,1
383963,32007,1
384948,10021,1
387233,28020,1
389260,10027,1
394705,19033,1
395660,05036,1
397860,05030,1
402041,10004,1
406444,19038,1
419135,10012,1
419141,05035,1
421273,10007,1
422427,05027,1
422459,19009,1
425606,05011,1
425658,19031,1
426659,05024,1
426723,19026,1
426742,19042,1
426713,19048,1
427787,19039,1
428864,19041,1
428765,05033,1
428860,19006,1
429914,19018,1
432060,19021,1
434085,10013,1
434194,19010,1
435294,19027,1
436328,19001,1
436332,19045,1
436425,28022,1
437395,19047,1
437392,19037,1
439609,28033,1
439615,28040,1
439572,19003,1
440642,19015,1
443874,28032,1
448137,28015,1
448127,28007,1
456619,19051,1
458754,19008,1
468334,05006,1
473673,05018,1
474741,05010,1
476858,05007,1
477940,05021,1
478950,05023,1
480112,19032,1
482222,05001,1
487602,19005,1
489620,05034,1
491835,05008,1
496165,28027,1
498241,05026,1
511064,05028,1
512120,05020,1
523885,05037,1
532435,05022,1
536703,05038,1
544191,05025,1
